respondent_id,age,years_in_neighborhood,housing_status,work_schedule,occupation_group,hourly_wage,household_income,redevelopment_concern
R0001,65,19,homeowner,day,service,23.28,24000,2
R0002,58,30,homeowner,rotating,trades,32.22,48500,4
R0003,60,39,homeowner,overnight,other,23.87,72500,4
R0004,30,14,living_with_family,evening,other,14.64,12000,3
R0005,59,19,living_with_family,overnight,health_care,28.19,76000,1
R0006,43,0,homeowner,day,office,25.12,100500,3
R0007,43,26,homeowner,evening,service,17.07,117500,2
R0008,63,31,temporary_or_other,day,office,30.59,66000,4
R0009,39,18,renter,day,office,27.0,77000,3
R0010,27,0,renter,evening,office,25.91,100500,5
R0011,39,23,homeowner,overnight,education,21.13,47500,3
R0012,28,0,homeowner,day,office,22.88,74500,1
R0013,18,2,living_with_family,day,service,12.6,49000,3
R0014,44,9,living_with_family,evening,health_care,33.19,103500,3
R0015,52,20,renter,day,trades,27.78,53000,5
R0016,18,2,renter,day,education,14.44,38000,3
R0017,46,14,homeowner,day,office,32.34,63000,2
R0018,50,34,living_with_family,overnight,service,22.44,40500,3
R0019,49,33,homeowner,day,service,18.58,35500,3
R0020,27,11,renter,day,office,20.78,97000,4
R0021,41,8,renter,day,service,11.17,53000,4
R0022,43,0,living_with_family,day,other,19.03,35500,1
R0023,52,0,homeowner,day,trades,25.75,55500,3
R0024,27,10,renter,day,trades,16.17,42500,3
R0025,52,4,renter,day,trades,24.68,47500,3
R0026,61,25,renter,rotating,service,20.4,98500,5
R0027,18,0,renter,day,service,10.5,38500,3
R0028,49,26,homeowner,evening,service,23.85,38500,3
R0029,23,0,renter,day,education,31.92,59500,2
R0030,43,23,homeowner,day,trades,29.18,51000,2
R0031,36,20,renter,overnight,service,22.9,67500,3
R0032,65,49,homeowner,day,education,22.39,43500,3
R0033,47,16,homeowner,rotating,trades,25.94,95000,4
R0034,58,19,homeowner,day,education,28.92,102000,2
R0035,30,0,renter,evening,service,20.37,52500,4
R0036,53,37,homeowner,rotating,health_care,25.29,53000,3
R0037,67,19,homeowner,rotating,office,23.1,33500,3
R0038,35,0,living_with_family,rotating,service,25.52,38500,3
R0039,56,13,renter,day,service,16.33,28000,3
R0040,53,37,homeowner,rotating,office,23.1,47500,3
R0041,45,21,renter,evening,education,24.68,42000,3
R0042,27,0,renter,day,education,23.36,57500,3
R0043,50,15,temporary_or_other,day,trades,32.96,71500,4
R0044,42,25,homeowner,rotating,health_care,31.26,42000,2
R0045,55,14,homeowner,day,health_care,25.8,49500,5
R0046,58,14,living_with_family,day,office,25.58,138000,5
R0047,69,32,homeowner,evening,health_care,31.47,148500,4
R0048,33,0,temporary_or_other,day,education,26.37,85000,4
R0049,59,23,homeowner,day,office,23.09,90000,2
R0050,57,41,homeowner,overnight,trades,26.06,44000,3
R0051,47,31,renter,evening,service,14.15,35500,4
R0052,55,32,living_with_family,day,service,15.5,62000,4
R0053,48,8,renter,day,trades,32.46,63000,3
R0054,56,8,renter,rotating,office,33.21,53000,4
R0055,52,26,homeowner,day,education,27.38,58500,3
R0056,38,4,homeowner,day,service,19.13,85000,3
R0057,48,10,homeowner,day,service,19.98,89000,4
R0058,56,35,homeowner,day,trades,30.68,110000,4
R0059,33,0,temporary_or_other,evening,service,17.46,38500,2
R0060,40,6,temporary_or_other,day,trades,26.27,109500,4
R0061,66,19,renter,day,trades,29.51,51500,3
R0062,51,20,renter,day,other,17.81,68500,4
R0063,37,3,homeowner,day,office,21.5,53500,1
R0064,38,22,living_with_family,overnight,service,10.5,53500,4
R0065,67,51,homeowner,evening,education,31.87,62500,3
R0066,53,37,homeowner,day,other,18.24,45500,3
R0067,18,2,living_with_family,day,education,17.82,74500,4
R0068,54,20,renter,day,service,22.04,116500,5
R0069,33,9,temporary_or_other,day,health_care,24.35,122000,5
R0070,44,11,homeowner,overnight,trades,29.72,48000,3
R0071,22,6,homeowner,overnight,other,24.29,50500,4
R0072,42,0,living_with_family,day,trades,35.13,89500,2
R0073,35,19,homeowner,day,service,15.95,71500,4
R0074,28,12,homeowner,rotating,service,19.54,35000,3
R0075,60,39,homeowner,day,health_care,27.5,34000,4
R0076,83,65,homeowner,day,office,27.6,125000,5
R0077,54,12,renter,day,office,26.64,110500,3
R0078,49,33,homeowner,day,trades,31.17,106500,3
R0079,28,0,living_with_family,day,health_care,24.11,75500,1
R0080,42,24,living_with_family,overnight,health_care,23.45,90500,3
R0081,36,15,homeowner,day,office,26.23,68500,2
R0082,18,2,renter,day,service,11.29,60000,3
R0083,54,16,temporary_or_other,rotating,trades,29.28,87000,4
R0084,45,29,renter,day,service,17.89,88500,3
R0085,35,0,living_with_family,overnight,trades,32.97,117000,3
R0086,24,5,renter,day,office,24.91,55000,1
R0087,53,33,renter,day,trades,28.62,65500,4
R0088,66,41,living_with_family,day,service,23.75,66000,3
R0089,47,31,homeowner,evening,trades,29.47,57500,5
R0090,38,11,renter,day,education,25.93,63500,2
R0091,55,38,renter,day,other,19.46,31000,2
R0092,31,6,renter,evening,health_care,30.49,71000,3
R0093,18,0,renter,overnight,service,15.79,95000,5
R0094,72,24,homeowner,rotating,service,18.52,79500,3
R0095,71,55,homeowner,rotating,health_care,34.22,47500,2
R0096,41,23,renter,day,trades,26.39,46500,4
R0097,47,0,renter,day,office,24.99,64500,2
R0098,71,47,homeowner,day,education,34.11,53500,3
R0099,29,3,homeowner,overnight,other,28.32,101000,2
R0100,48,10,living_with_family,day,office,19.99,75500,2
R0101,59,40,homeowner,day,trades,33.78,76500,5
R0102,72,56,homeowner,day,service,19.32,40500,4
R0103,34,15,homeowner,day,service,20.24,60000,2
R0104,34,18,renter,day,office,21.3,61500,3
R0105,49,4,renter,evening,education,29.73,86500,3
R0106,37,9,living_with_family,evening,trades,19.5,42000,4
R0107,69,32,homeowner,day,office,35.59,100000,3
R0108,35,0,renter,day,education,14.76,70000,2
R0109,49,22,homeowner,rotating,health_care,19.72,42000,3
R0110,49,31,homeowner,day,education,30.04,87000,3
R0111,42,0,renter,overnight,health_care,24.85,43500,4
R0112,21,5,renter,day,trades,27.53,68000,3
R0113,66,26,renter,day,service,19.61,52500,5
R0114,49,22,renter,rotating,office,33.54,81500,4
R0115,56,34,homeowner,evening,service,17.54,76000,3
R0116,55,9,homeowner,day,health_care,29.27,84000,4
R0117,38,0,renter,evening,trades,29.95,106000,3
R0118,39,19,homeowner,rotating,office,22.89,86500,2
R0119,39,11,homeowner,day,health_care,22.13,46500,2
R0120,63,47,homeowner,day,education,25.22,98000,4
R0121,38,10,renter,evening,education,22.19,129500,3
R0122,18,2,temporary_or_other,day,health_care,20.61,72500,4
R0123,41,25,homeowner,overnight,health_care,25.43,83000,3
R0124,32,0,renter,day,health_care,24.58,75500,3
R0125,60,17,homeowner,day,trades,27.51,34000,2
R0126,36,15,temporary_or_other,day,office,30.78,85000,3
R0127,52,30,homeowner,rotating,other,20.85,58500,4
R0128,45,7,renter,day,education,22.84,47000,2
R0129,49,28,renter,day,health_care,15.5,51000,4
R0130,32,7,renter,rotating,health_care,30.13,87000,4
R0131,39,22,homeowner,day,trades,25.29,43000,3
R0132,45,21,renter,day,trades,30.41,125500,3
R0133,53,37,homeowner,day,health_care,20.91,74000,4
R0134,52,33,homeowner,day,office,18.65,26500,3
R0135,28,12,homeowner,evening,service,11.81,52500,3
R0136,41,22,living_with_family,rotating,trades,29.14,117500,3
R0137,60,32,renter,evening,trades,28.79,49000,2
R0138,56,35,homeowner,day,service,17.76,76000,4
R0139,37,1,homeowner,rotating,health_care,29.89,63500,3
R0140,38,9,homeowner,day,education,21.49,93000,2
R0141,69,38,renter,overnight,trades,36.79,91000,5
R0142,57,33,homeowner,day,office,23.28,89000,3
R0143,20,0,homeowner,day,office,24.6,47500,4
R0144,77,33,homeowner,evening,health_care,25.49,120500,3
R0145,56,33,living_with_family,day,education,32.14,68000,4
R0146,50,0,homeowner,day,other,16.95,82000,3
R0147,39,23,renter,day,education,23.06,53000,3
R0148,30,10,renter,rotating,other,19.55,91500,4
R0149,36,5,renter,day,trades,29.8,106500,3
R0150,34,5,living_with_family,day,trades,24.34,111000,3
R0151,28,3,renter,day,other,15.74,62000,2
R0152,18,0,renter,day,office,23.94,34500,3
R0153,67,32,homeowner,day,trades,25.6,91000,4
R0154,66,34,homeowner,evening,trades,30.49,83000,4
R0155,55,30,homeowner,day,service,23.19,139500,4
R0156,48,8,renter,day,office,22.21,93000,4
R0157,36,0,living_with_family,day,other,12.11,29000,3
R0158,39,12,homeowner,day,trades,22.92,85000,3
R0159,45,0,renter,overnight,health_care,30.46,64000,3
R0160,33,0,homeowner,day,health_care,19.96,78000,1
R0161,50,30,homeowner,overnight,trades,19.74,87000,3
R0162,45,0,homeowner,rotating,health_care,31.0,48500,3
R0163,41,12,living_with_family,rotating,trades,27.73,42500,2
R0164,49,18,renter,rotating,education,23.92,55500,2
R0165,47,26,homeowner,day,trades,32.6,81000,3
R0166,60,14,homeowner,day,health_care,23.84,41000,2
R0167,42,13,renter,day,education,30.44,114500,3
R0168,31,6,renter,rotating,health_care,27.96,79000,5
R0169,51,3,homeowner,overnight,trades,28.84,108500,3
R0170,65,33,living_with_family,evening,service,22.74,35000,4
R0171,74,43,homeowner,evening,health_care,31.43,107500,5
R0172,60,19,living_with_family,day,office,27.06,47500,4
