respondent_id,age,years_in_neighborhood,housing_status,work_schedule,occupation_group,hourly_wage,household_income,redevelopment_concern
R0001,65.0,19,homeowner,day,service,23.28,24000.0,2
R0002,58.0,30,homeowner,rotating,trades,32.22,48500.0,4
R0003,60.0,39,homeowner,overnight,other,23.87,,4
R0004,30.0,14,living_with_family,evening,other,14.64,,3
R0005,,19,living_with_family,overnight,health_care,28.19,76000.0,1
R0006,43.0,0,homeowner,day,office,25.12,100500.0,3
R0007,43.0,26,homeowner,evening,service,17.07,,2
R0008,63.0,31,temporary_or_other,day,office,30.59,66000.0,4
R0009,39.0,18,renter,day,office,27.0,77000.0,3
R0010,27.0,0,renter,evening,office,25.91,100500.0,5
R0011,39.0,23,homeowner,overnight,education,21.13,47500.0,3
R0012,28.0,0,homeowner,day,office,,74500.0,1
R0013,18.0,2,living_with_family,day,service,12.6,49000.0,3
R0014,44.0,9,living_with_family,evening,health_care,33.19,,3
R0015,52.0,20,renter,day,trades,27.78,53000.0,5
R0016,,2,renter,day,education,14.44,,3
R0017,,14,homeowner,day,office,32.34,63000.0,2
R0018,50.0,34,living_with_family,overnight,service,22.44,40500.0,3
R0019,49.0,33,homeowner,day,service,18.58,35500.0,3
R0020,27.0,11,renter,day,office,20.78,97000.0,4
R0021,41.0,8,renter,day,service,,53000.0,4
R0022,43.0,0,living_with_family,day,other,19.03,35500.0,1
R0023,52.0,0,homeowner,day,trades,,55500.0,3
R0024,27.0,10,renter,day,trades,16.17,42500.0,3
R0025,52.0,4,renter,day,trades,24.68,47500.0,3
R0026,61.0,25,renter,rotating,service,20.4,98500.0,5
R0027,18.0,0,renter,day,service,,38500.0,3
R0028,,26,homeowner,evening,service,23.85,,3
R0029,23.0,0,renter,day,education,31.92,59500.0,2
R0030,43.0,23,homeowner,day,trades,29.18,51000.0,2
R0031,36.0,20,renter,overnight,service,22.9,67500.0,3
R0032,65.0,49,homeowner,day,education,22.39,43500.0,3
R0033,47.0,16,homeowner,rotating,trades,25.94,95000.0,4
R0034,58.0,19,homeowner,day,education,28.92,102000.0,2
R0035,30.0,0,renter,evening,service,20.37,52500.0,4
R0036,53.0,37,homeowner,rotating,health_care,25.29,53000.0,3
R0037,67.0,19,homeowner,rotating,office,23.1,,3
R0038,35.0,0,living_with_family,rotating,service,25.52,38500.0,3
R0039,56.0,13,renter,day,service,16.33,,3
R0040,53.0,37,homeowner,rotating,office,,47500.0,3
R0041,45.0,21,renter,evening,education,24.68,,3
R0042,,0,renter,day,education,23.36,,3
R0043,50.0,15,temporary_or_other,day,trades,32.96,71500.0,4
R0044,42.0,25,homeowner,rotating,health_care,31.26,,2
R0045,55.0,14,homeowner,day,health_care,25.8,49500.0,5
R0046,58.0,14,living_with_family,day,office,25.58,138000.0,5
R0047,69.0,32,homeowner,evening,health_care,31.47,148500.0,4
R0048,33.0,0,temporary_or_other,day,education,26.37,85000.0,4
R0049,59.0,23,homeowner,day,office,23.09,90000.0,2
R0050,57.0,41,homeowner,overnight,trades,26.06,,3
R0051,47.0,31,renter,evening,service,14.15,35500.0,4
R0052,55.0,32,living_with_family,day,service,15.5,62000.0,4
R0053,48.0,8,renter,day,trades,32.46,63000.0,3
R0054,56.0,8,renter,rotating,office,,53000.0,4
R0055,52.0,26,homeowner,day,education,27.38,,3
R0056,38.0,4,homeowner,day,service,19.13,85000.0,3
R0057,48.0,10,homeowner,day,service,19.98,89000.0,4
R0058,56.0,35,homeowner,day,trades,,110000.0,4
R0059,33.0,0,temporary_or_other,evening,service,17.46,,2
R0060,40.0,6,temporary_or_other,day,trades,,109500.0,4
R0061,66.0,19,renter,day,trades,29.51,51500.0,3
R0062,51.0,20,renter,day,other,17.81,,4
R0063,37.0,3,homeowner,day,office,21.5,53500.0,1
R0064,38.0,22,living_with_family,overnight,service,,,4
R0065,67.0,51,homeowner,evening,education,31.87,62500.0,3
R0066,53.0,37,homeowner,day,other,18.24,45500.0,3
R0067,18.0,2,living_with_family,day,education,17.82,74500.0,4
R0068,54.0,20,renter,day,service,,116500.0,5
R0069,33.0,9,temporary_or_other,day,health_care,24.35,122000.0,5
R0070,44.0,11,homeowner,overnight,trades,29.72,48000.0,3
R0071,22.0,6,homeowner,overnight,other,24.29,50500.0,4
R0072,42.0,0,living_with_family,day,trades,35.13,89500.0,2
R0073,35.0,19,homeowner,day,service,15.95,71500.0,4
R0074,28.0,12,homeowner,rotating,service,,35000.0,3
R0075,60.0,39,homeowner,day,health_care,27.5,34000.0,4
R0076,83.0,65,homeowner,day,office,,125000.0,5
R0077,54.0,12,renter,day,office,26.64,110500.0,3
R0078,49.0,33,homeowner,day,trades,31.17,106500.0,3
R0079,,0,living_with_family,day,health_care,24.11,75500.0,1
R0080,42.0,24,living_with_family,overnight,health_care,,90500.0,3
R0081,36.0,15,homeowner,day,office,26.23,68500.0,2
R0082,18.0,2,renter,day,service,11.29,60000.0,3
R0083,54.0,16,temporary_or_other,rotating,trades,29.28,87000.0,4
R0084,45.0,29,renter,day,service,17.89,,3
R0085,35.0,0,living_with_family,overnight,trades,,117000.0,3
R0086,24.0,5,renter,day,office,24.91,55000.0,1
R0087,53.0,33,renter,day,trades,28.62,65500.0,4
R0088,66.0,41,living_with_family,day,service,23.75,66000.0,3
R0089,47.0,31,homeowner,evening,trades,29.47,57500.0,5
R0090,38.0,11,renter,day,education,25.93,63500.0,2
R0091,55.0,38,renter,day,other,19.46,31000.0,2
R0092,31.0,6,renter,evening,health_care,30.49,71000.0,3
R0093,18.0,0,renter,overnight,service,15.79,95000.0,5
R0094,72.0,24,homeowner,rotating,service,18.52,,3
R0095,71.0,55,homeowner,rotating,health_care,34.22,47500.0,2
R0096,41.0,23,renter,day,trades,26.39,,4
R0097,47.0,0,renter,day,office,24.99,64500.0,2
R0098,71.0,47,homeowner,day,education,34.11,53500.0,3
R0099,29.0,3,homeowner,overnight,other,28.32,101000.0,2
R0100,48.0,10,living_with_family,day,office,19.99,75500.0,2
R0101,59.0,40,homeowner,day,trades,33.78,76500.0,5
R0102,72.0,56,homeowner,day,service,19.32,40500.0,4
R0103,34.0,15,homeowner,day,service,20.24,60000.0,2
R0104,34.0,18,renter,day,office,21.3,61500.0,3
R0105,49.0,4,renter,evening,education,29.73,86500.0,3
R0106,37.0,9,living_with_family,evening,trades,19.5,42000.0,4
R0107,69.0,32,homeowner,day,office,35.59,100000.0,3
R0108,35.0,0,renter,day,education,14.76,70000.0,2
R0109,49.0,22,homeowner,rotating,health_care,19.72,,3
R0110,49.0,31,homeowner,day,education,30.04,,3
R0111,42.0,0,renter,overnight,health_care,24.85,43500.0,4
R0112,21.0,5,renter,day,trades,27.53,68000.0,3
R0113,66.0,26,renter,day,service,,52500.0,5
R0114,49.0,22,renter,rotating,office,33.54,81500.0,4
R0115,56.0,34,homeowner,evening,service,17.54,76000.0,3
R0116,55.0,9,homeowner,day,health_care,29.27,84000.0,4
R0117,38.0,0,renter,evening,trades,29.95,106000.0,3
R0118,39.0,19,homeowner,rotating,office,22.89,86500.0,2
