respondent_id,field,true_value,mechanism,mechanism_basis
R0005,age,59.0,MCAR,Age values were removed independently of all survey variables.
R0016,age,18.0,MCAR,Age values were removed independently of all survey variables.
R0017,age,46.0,MCAR,Age values were removed independently of all survey variables.
R0028,age,49.0,MCAR,Age values were removed independently of all survey variables.
R0042,age,27.0,MCAR,Age values were removed independently of all survey variables.
R0079,age,28.0,MCAR,Age values were removed independently of all survey variables.
R0161,age,50.0,MCAR,Age values were removed independently of all survey variables.
R0177,age,44.0,MCAR,Age values were removed independently of all survey variables.
R0191,age,53.0,MCAR,Age values were removed independently of all survey variables.
R0220,age,47.0,MCAR,Age values were removed independently of all survey variables.
R0224,age,45.0,MCAR,Age values were removed independently of all survey variables.
R0271,age,18.0,MCAR,Age values were removed independently of all survey variables.
R0285,age,50.0,MCAR,Age values were removed independently of all survey variables.
R0296,age,38.0,MCAR,Age values were removed independently of all survey variables.
R0302,age,47.0,MCAR,Age values were removed independently of all survey variables.
R0311,age,61.0,MCAR,Age values were removed independently of all survey variables.
R0388,age,41.0,MCAR,Age values were removed independently of all survey variables.
R0397,age,79.0,MCAR,Age values were removed independently of all survey variables.
R0426,age,27.0,MCAR,Age values were removed independently of all survey variables.
R0459,age,39.0,MCAR,Age values were removed independently of all survey variables.
R0463,age,27.0,MCAR,Age values were removed independently of all survey variables.
R0483,age,48.0,MCAR,Age values were removed independently of all survey variables.
R0519,age,59.0,MCAR,Age values were removed independently of all survey variables.
R0522,age,42.0,MCAR,Age values were removed independently of all survey variables.
R0012,hourly_wage,22.88,MAR,Missingness depends on observed work_schedule and occupation_group.
R0021,hourly_wage,11.17,MAR,Missingness depends on observed work_schedule and occupation_group.
R0023,hourly_wage,25.75,MAR,Missingness depends on observed work_schedule and occupation_group.
R0027,hourly_wage,10.5,MAR,Missingness depends on observed work_schedule and occupation_group.
R0040,hourly_wage,23.1,MAR,Missingness depends on observed work_schedule and occupation_group.
R0054,hourly_wage,33.21,MAR,Missingness depends on observed work_schedule and occupation_group.
R0058,hourly_wage,30.68,MAR,Missingness depends on observed work_schedule and occupation_group.
R0060,hourly_wage,26.27,MAR,Missingness depends on observed work_schedule and occupation_group.
R0064,hourly_wage,10.5,MAR,Missingness depends on observed work_schedule and occupation_group.
R0068,hourly_wage,22.04,MAR,Missingness depends on observed work_schedule and occupation_group.
R0074,hourly_wage,19.54,MAR,Missingness depends on observed work_schedule and occupation_group.
R0076,hourly_wage,27.6,MAR,Missingness depends on observed work_schedule and occupation_group.
R0080,hourly_wage,23.45,MAR,Missingness depends on observed work_schedule and occupation_group.
R0085,hourly_wage,32.97,MAR,Missingness depends on observed work_schedule and occupation_group.
R0113,hourly_wage,19.61,MAR,Missingness depends on observed work_schedule and occupation_group.
R0122,hourly_wage,20.61,MAR,Missingness depends on observed work_schedule and occupation_group.
R0123,hourly_wage,25.43,MAR,Missingness depends on observed work_schedule and occupation_group.
R0136,hourly_wage,29.14,MAR,Missingness depends on observed work_schedule and occupation_group.
R0153,hourly_wage,25.6,MAR,Missingness depends on observed work_schedule and occupation_group.
R0155,hourly_wage,23.19,MAR,Missingness depends on observed work_schedule and occupation_group.
R0156,hourly_wage,22.21,MAR,Missingness depends on observed work_schedule and occupation_group.
R0159,hourly_wage,30.46,MAR,Missingness depends on observed work_schedule and occupation_group.
R0165,hourly_wage,32.6,MAR,Missingness depends on observed work_schedule and occupation_group.
R0175,hourly_wage,25.5,MAR,Missingness depends on observed work_schedule and occupation_group.
R0181,hourly_wage,30.16,MAR,Missingness depends on observed work_schedule and occupation_group.
R0197,hourly_wage,20.82,MAR,Missingness depends on observed work_schedule and occupation_group.
R0200,hourly_wage,20.25,MAR,Missingness depends on observed work_schedule and occupation_group.
R0213,hourly_wage,29.73,MAR,Missingness depends on observed work_schedule and occupation_group.
R0232,hourly_wage,25.91,MAR,Missingness depends on observed work_schedule and occupation_group.
R0240,hourly_wage,22.11,MAR,Missingness depends on observed work_schedule and occupation_group.
R0241,hourly_wage,41.99,MAR,Missingness depends on observed work_schedule and occupation_group.
R0251,hourly_wage,21.12,MAR,Missingness depends on observed work_schedule and occupation_group.
R0253,hourly_wage,33.12,MAR,Missingness depends on observed work_schedule and occupation_group.
R0268,hourly_wage,30.02,MAR,Missingness depends on observed work_schedule and occupation_group.
R0277,hourly_wage,23.34,MAR,Missingness depends on observed work_schedule and occupation_group.
R0283,hourly_wage,25.67,MAR,Missingness depends on observed work_schedule and occupation_group.
R0284,hourly_wage,26.4,MAR,Missingness depends on observed work_schedule and occupation_group.
R0295,hourly_wage,27.06,MAR,Missingness depends on observed work_schedule and occupation_group.
R0316,hourly_wage,24.65,MAR,Missingness depends on observed work_schedule and occupation_group.
R0327,hourly_wage,17.66,MAR,Missingness depends on observed work_schedule and occupation_group.
R0331,hourly_wage,10.5,MAR,Missingness depends on observed work_schedule and occupation_group.
R0337,hourly_wage,23.96,MAR,Missingness depends on observed work_schedule and occupation_group.
R0347,hourly_wage,24.92,MAR,Missingness depends on observed work_schedule and occupation_group.
R0348,hourly_wage,20.47,MAR,Missingness depends on observed work_schedule and occupation_group.
R0351,hourly_wage,21.6,MAR,Missingness depends on observed work_schedule and occupation_group.
R0352,hourly_wage,18.93,MAR,Missingness depends on observed work_schedule and occupation_group.
R0355,hourly_wage,31.54,MAR,Missingness depends on observed work_schedule and occupation_group.
R0356,hourly_wage,24.68,MAR,Missingness depends on observed work_schedule and occupation_group.
R0360,hourly_wage,16.26,MAR,Missingness depends on observed work_schedule and occupation_group.
R0374,hourly_wage,24.87,MAR,Missingness depends on observed work_schedule and occupation_group.
R0375,hourly_wage,17.23,MAR,Missingness depends on observed work_schedule and occupation_group.
R0376,hourly_wage,30.45,MAR,Missingness depends on observed work_schedule and occupation_group.
R0389,hourly_wage,29.21,MAR,Missingness depends on observed work_schedule and occupation_group.
R0413,hourly_wage,25.68,MAR,Missingness depends on observed work_schedule and occupation_group.
R0414,hourly_wage,24.79,MAR,Missingness depends on observed work_schedule and occupation_group.
R0427,hourly_wage,34.17,MAR,Missingness depends on observed work_schedule and occupation_group.
R0436,hourly_wage,15.87,MAR,Missingness depends on observed work_schedule and occupation_group.
R0438,hourly_wage,28.81,MAR,Missingness depends on observed work_schedule and occupation_group.
R0440,hourly_wage,13.16,MAR,Missingness depends on observed work_schedule and occupation_group.
R0442,hourly_wage,21.08,MAR,Missingness depends on observed work_schedule and occupation_group.
R0445,hourly_wage,19.12,MAR,Missingness depends on observed work_schedule and occupation_group.
R0454,hourly_wage,18.06,MAR,Missingness depends on observed work_schedule and occupation_group.
R0458,hourly_wage,29.6,MAR,Missingness depends on observed work_schedule and occupation_group.
R0466,hourly_wage,26.23,MAR,Missingness depends on observed work_schedule and occupation_group.
R0468,hourly_wage,22.63,MAR,Missingness depends on observed work_schedule and occupation_group.
R0491,hourly_wage,25.34,MAR,Missingness depends on observed work_schedule and occupation_group.
R0496,hourly_wage,28.69,MAR,Missingness depends on observed work_schedule and occupation_group.
